epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4734,2.57134,4.77384,1.8291,0.00151,0.38889,0.00125,0.00046,2.26362,4.36902,1.6811,2e-05,2e-05,2e-05
2,27.7127,2.49874,5.00787,1.89678,0.00183,0.47222,0.00155,0.0006,2.18622,4.36856,1.63769,5.8812e-05,5.8812e-05,5.8812e-05
3,40.7057,2.39005,4.63346,1.81228,0.00226,0.58333,0.00275,0.00134,1.97258,4.22031,1.49271,9.604e-05,9.604e-05,9.604e-05
4,53.6804,2.3839,4.36311,1.80839,0.00312,0.80556,0.00458,0.00223,1.87966,4.08185,1.37528,0.000131684,0.000131684,0.000131684
5,66.6857,2.25504,4.325,1.72303,0.00333,0.86111,0.01104,0.00595,1.73172,3.97237,1.2838,0.000165744,0.000165744,0.000165744
6,79.8962,2.0563,3.84284,1.51362,0.00355,0.91667,0.03063,0.01095,1.69705,3.87254,1.24008,0.00019822,0.00019822,0.00019822
7,92.996,2.08735,3.70459,1.52608,0.00366,0.94444,0.02564,0.00882,1.67579,3.8286,1.20884,0.000229112,0.000229112,0.000229112
8,108.801,2.01396,3.3514,1.46601,0.00355,0.91667,0.02372,0.00853,1.61783,3.78873,1.17977,0.00025842,0.00025842,0.00025842
