epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.7725,0.84552,0.70699,0.95208,0.90385,0.87037,0.8801,0.64441,1.04048,0.81703,1.00032,0.00022,0.00022,0.00022
2,180.473,1.15273,0.99206,1.08927,0.81034,0.87037,0.85783,0.68944,0.88148,0.73314,0.92707,0.00044988,0.00044988,0.00044988
3,265.3,1.02141,0.90701,1.02388,0.94444,0.62963,0.78323,0.6167,0.98233,0.76921,0.98622,0.0006692,0.0006692,0.0006692
4,349.884,1.04498,0.87357,0.99856,0.93548,0.53704,0.73968,0.59015,1.00893,0.90994,0.98559,0.00087796,0.00087796,0.00087796
5,437.853,1.07078,0.86689,1.03828,0.84211,0.88889,0.89618,0.68403,0.98586,1.04362,0.99071,0.00107616,0.00107616,0.00107616
6,523.005,0.98608,0.81885,1.01267,0.9,0.66667,0.79736,0.59799,1.12402,0.9473,1.04464,0.0012638,0.0012638,0.0012638
7,608.599,1.03524,0.86731,1.02205,0.89744,0.64815,0.76191,0.57292,1.09669,0.94445,1.05066,0.00144088,0.00144088,0.00144088
8,695.177,1.12713,0.90902,1.07324,0.87097,0.5,0.69133,0.50969,1.2588,1.12566,1.08417,0.0016074,0.0016074,0.0016074
9,778.689,1.26357,1.0124,1.11635,0.96,0.44444,0.70151,0.53254,1.23566,1.08058,1.09483,0.001648,0.001648,0.001648
10,866.682,1.17575,0.96908,1.08196,0.66667,0.22222,0.46189,0.38593,1.32735,1.13797,1.15334,0.001604,0.001604,0.001604
11,952.244,1.0556,0.89249,1.03768,0.91429,0.59259,0.7598,0.54486,1.2771,0.96227,1.1353,0.00156,0.00156,0.00156
12,1039.17,1.0255,0.85048,1.02058,0.91667,0.61111,0.76035,0.53526,1.31652,0.88437,1.11636,0.001516,0.001516,0.001516
13,1125.56,1.03166,0.79273,1.01755,0.75926,0.75926,0.76429,0.57103,1.18825,1.07116,1.06532,0.001472,0.001472,0.001472
14,1213.2,1.01836,0.81639,1.01563,0.84375,0.5,0.67584,0.467,1.36384,1.25033,1.18667,0.001428,0.001428,0.001428
15,1298.54,1.02391,0.80405,1.0235,0.96,0.44444,0.69331,0.53332,1.2172,1.06977,1.09127,0.001384,0.001384,0.001384
16,1384.97,0.98411,0.77684,1.02238,0.91806,0.61111,0.7673,0.56835,1.0893,1.00215,1.02401,0.00134,0.00134,0.00134
17,1471.19,0.9481,0.768,0.97701,0.96296,0.48148,0.71385,0.53751,1.17209,1.05175,1.05732,0.001296,0.001296,0.001296
18,1555.25,0.99125,0.74131,1.00552,0.85714,0.66667,0.78092,0.6116,1.07189,0.85788,1.01906,0.001252,0.001252,0.001252
19,1642.16,0.96169,0.69948,0.98079,0.87879,0.53704,0.71836,0.54052,1.11411,1.03371,1.04841,0.001208,0.001208,0.001208
20,1726.18,0.88029,0.67991,0.96318,0.7619,0.59259,0.65693,0.46184,1.35229,1.16196,1.21135,0.001164,0.001164,0.001164
21,1810.83,0.91728,0.72541,0.97101,0.83784,0.57407,0.71908,0.53553,1.23555,1.12029,1.12399,0.00112,0.00112,0.00112
22,1897.07,0.91515,0.66329,0.97847,0.89189,0.61111,0.76105,0.58712,1.1543,0.90519,1.05413,0.001076,0.001076,0.001076
23,1991.3,0.91967,0.68462,0.97498,0.96774,0.55556,0.76411,0.57228,1.18912,1.04631,1.09432,0.001032,0.001032,0.001032
24,2093.26,0.94565,0.67967,0.97659,0.94444,0.62963,0.78538,0.58472,1.22451,0.97558,1.12461,0.000988,0.000988,0.000988
25,2181.4,0.89806,0.67225,0.96998,0.90625,0.53704,0.73328,0.57108,1.21841,1.07663,1.1,0.000944,0.000944,0.000944
26,2264.25,0.92882,0.67171,0.97705,0.87805,0.66667,0.77154,0.60823,1.13418,0.9394,1.05547,0.0009,0.0009,0.0009
27,2353.83,0.85838,0.61205,0.95358,0.85714,0.66667,0.77778,0.57355,1.21802,0.90038,1.07643,0.000856,0.000856,0.000856
28,2442.76,0.85976,0.61355,0.95702,0.86364,0.7037,0.80066,0.61929,1.16723,0.87493,1.05871,0.000812,0.000812,0.000812
29,2527.79,0.84277,0.58579,0.95318,0.86,0.7963,0.84426,0.62131,1.22574,0.88597,1.091,0.000768,0.000768,0.000768
30,2610.84,0.81317,0.55437,0.93221,0.92857,0.72222,0.81834,0.63021,1.10902,0.89761,1.02836,0.000724,0.000724,0.000724
31,2698.84,0.82826,0.60352,0.93724,0.91667,0.61111,0.75953,0.56025,1.17937,0.99777,1.06382,0.00068,0.00068,0.00068
32,2784.9,0.82954,0.58019,0.94894,0.83673,0.75926,0.77598,0.58444,1.13949,0.92768,1.04348,0.000636,0.000636,0.000636
33,2889.08,0.81444,0.592,0.94463,0.84444,0.7037,0.77247,0.5722,1.13086,0.90357,1.04006,0.000592,0.000592,0.000592
34,3143.05,0.76423,0.56132,0.91751,0.92683,0.7037,0.80463,0.61656,1.1629,0.92366,1.04062,0.000548,0.000548,0.000548
35,3272.81,0.74645,0.53065,0.92027,0.89362,0.77778,0.83956,0.65594,1.10217,0.83319,1.0119,0.000504,0.000504,0.000504
36,3602.07,0.76574,0.61903,0.94112,0.94118,0.59259,0.76357,0.60683,1.06081,1.00021,0.99618,0.00046,0.00046,0.00046
37,4146.72,0.79815,0.53825,0.9198,0.96875,0.57407,0.76241,0.58814,1.04641,1.13493,1.00292,0.000416,0.000416,0.000416
38,4229.7,0.74794,0.54633,0.93127,0.91176,0.57407,0.74618,0.56982,1.13278,0.98069,1.03163,0.000372,0.000372,0.000372
39,4885.39,0.72131,0.48053,0.91804,0.925,0.68519,0.78849,0.58032,1.11419,0.9461,1.02787,0.000328,0.000328,0.000328
40,4972.53,0.67007,0.47498,0.8796,0.92308,0.66667,0.77555,0.60096,1.08214,0.92189,1.01692,0.000284,0.000284,0.000284
41,5059.01,0.64803,0.46841,0.86515,0.92308,0.66667,0.78192,0.60238,1.09751,0.89992,1.03323,0.00024,0.00024,0.00024
42,5141.83,0.68846,0.44897,0.89361,0.92308,0.66667,0.78451,0.61406,1.07271,0.85983,1.01544,0.000196,0.000196,0.000196
43,5888.41,0.62782,0.42755,0.85181,0.92105,0.64815,0.78223,0.62908,1.07264,0.89545,1.01334,0.000152,0.000152,0.000152
44,6002.82,0.64453,0.44365,0.86981,0.92105,0.64815,0.7791,0.61757,1.09054,0.8889,1.02284,0.000108,0.000108,0.000108
45,6089.91,0.62651,0.42777,0.86506,0.89744,0.64815,0.77086,0.60437,1.10688,0.87994,1.03569,6.4e-05,6.4e-05,6.4e-05
