epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0178,1.43275,1.65758,1.22803,0.86692,0.81395,0.89628,0.58441,1.17938,1.50138,1.11728,8e-05,8e-05,8e-05
2,134.722,1.53378,1.80183,1.21415,0.88849,0.83388,0.90702,0.58493,1.22985,1.61573,1.13239,0.00017406,0.00017406,0.00017406
3,191.353,1.48718,1.72651,1.20174,0.94597,0.88372,0.9293,0.56701,1.29943,1.4904,1.12618,0.00026152,0.00026152,0.00026152
4,244.068,1.4512,1.59671,1.14933,0.97304,0.83944,0.92896,0.51846,1.43715,1.47002,1.17571,0.00034238,0.00034238,0.00034238
5,286.716,1.40908,1.70392,1.17993,0.8939,0.7838,0.90367,0.56933,1.26451,1.61629,1.1121,0.00041664,0.00041664,0.00041664
6,339.282,1.33931,1.53399,1.14897,0.94213,0.81395,0.90505,0.56546,1.27632,1.6327,1.11892,0.0004843,0.0004843,0.0004843
7,382.893,1.45655,1.55946,1.1674,0.90825,0.80574,0.88389,0.52081,1.35924,1.49599,1.16188,0.00054536,0.00054536,0.00054536
8,435.572,1.40656,1.5874,1.18672,0.90806,0.75581,0.86611,0.52403,1.3522,1.45673,1.14211,0.00059982,0.00059982,0.00059982
9,474.768,1.38292,1.54824,1.11213,0.88169,0.73256,0.83824,0.49573,1.34762,1.63952,1.12852,0.00064768,0.00064768,0.00064768
10,520.548,1.3203,1.52325,1.08128,0.8524,0.77907,0.86395,0.52368,1.35983,1.41112,1.12172,0.00068894,0.00068894,0.00068894
11,567.53,1.35943,1.48834,1.12069,0.91982,0.80036,0.88671,0.52618,1.32864,1.34979,1.10842,0.0007236,0.0007236,0.0007236
12,608.102,1.31061,1.45442,1.09568,0.87811,0.86047,0.91543,0.53222,1.39086,1.28385,1.15224,0.00075166,0.00075166,0.00075166
13,661.981,1.36658,1.44051,1.13438,0.89089,0.85454,0.91379,0.53417,1.34411,1.2605,1.12766,0.00077312,0.00077312,0.00077312
14,928.978,1.33029,1.34305,1.12164,0.86961,0.77552,0.86158,0.49079,1.3561,1.41622,1.14374,0.00078798,0.00078798,0.00078798
15,972.961,1.29381,1.45104,1.13982,0.86357,0.81395,0.86147,0.52438,1.32458,1.39536,1.11579,0.00079624,0.00079624,0.00079624
16,1015.62,1.36843,1.48411,1.16483,0.81085,0.7907,0.85928,0.52966,1.34703,1.42571,1.12974,0.0007979,0.0007979,0.0007979
17,1059.12,1.25486,1.34513,1.0986,0.8361,0.6525,0.80353,0.50374,1.25738,1.8371,1.12559,0.00079296,0.00079296,0.00079296
18,1098.97,1.28874,1.42518,1.09177,0.85009,0.66279,0.78825,0.47078,1.35329,1.82259,1.1788,0.00078142,0.00078142,0.00078142
19,1138.78,1.27413,1.25753,1.08837,0.84384,0.75405,0.83917,0.52843,1.24443,1.5069,1.13494,0.00076328,0.00076328,0.00076328
20,1182.06,1.25839,1.30227,1.07391,0.90603,0.87209,0.93042,0.65697,1.12926,1.17309,1.05091,0.00073854,0.00073854,0.00073854
21,1226.71,1.31147,1.73951,1.06809,0.95979,0.83267,0.92324,0.64286,1.18611,1.17508,1.06111,0.00068,0.00068,0.00068
22,1272.46,1.31698,1.70935,1.11799,0.94771,0.84309,0.93415,0.62584,1.21689,1.18132,1.06988,0.000614,0.000614,0.000614
23,1323.81,1.30828,1.62161,1.10373,0.91259,0.84978,0.94706,0.63226,1.20834,1.19749,1.06749,0.000548,0.000548,0.000548
24,1366.82,1.24888,1.51402,1.08346,0.96321,0.91339,0.96595,0.6566,1.16159,1.12622,1.05004,0.000482,0.000482,0.000482
25,1409.99,1.15109,1.39549,1.07944,0.97492,0.90401,0.97069,0.66694,1.12224,1.05985,1.03754,0.000416,0.000416,0.000416
26,1449.77,1.12586,1.38903,1.05551,0.95424,0.90698,0.97099,0.68681,1.07845,1.02336,1.02066,0.00035,0.00035,0.00035
27,1488.72,1.16748,1.3259,1.07745,0.93112,0.94311,0.97386,0.68759,1.04318,0.993,1.00748,0.000284,0.000284,0.000284
28,1957.49,1.09969,1.3964,1.06103,0.99185,0.9186,0.98113,0.73677,0.93204,0.95114,0.97274,0.000218,0.000218,0.000218
29,2009.95,1.09934,1.27074,1.03291,0.96539,0.95349,0.98137,0.74341,0.92286,0.9434,0.96778,0.000152,0.000152,0.000152
30,2051.4,1.0723,1.29846,1.02389,0.96954,0.95349,0.98204,0.74424,0.91639,0.92679,0.96499,8.6e-05,8.6e-05,8.6e-05
