epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.5903,1.03786,1.00221,1.03767,0.89276,0.92498,0.93632,0.72657,0.88428,1.52336,0.92412,0.00022,0.00022,0.00022
2,182.453,1.08791,0.92357,1.05053,0.85132,0.84836,0.90263,0.63674,1.04353,1.05938,0.99727,0.000448615,0.000448615,0.000448615
3,270.825,1.08274,0.93431,1.04842,0.78983,1,0.94695,0.66967,1.08694,0.96076,1.01874,0.00066535,0.00066535,0.00066535
4,358.643,1.09366,0.92455,1.02035,0.83875,0.87037,0.9165,0.66118,1.04968,0.80351,1.00023,0.000870205,0.000870205,0.000870205
5,445.02,1.0575,0.87401,1.04006,0.87403,0.89947,0.90931,0.67893,0.9544,0.87674,0.99079,0.00106318,0.00106318,0.00106318
6,523.008,1.05245,0.85266,1.03638,0.78863,0.90741,0.90476,0.65716,1.05094,0.94129,1.02033,0.00124427,0.00124427,0.00124427
7,602.236,1.04235,0.85977,1.02969,0.78745,0.7037,0.81104,0.55502,1.1495,1.08906,1.04968,0.00141349,0.00141349,0.00141349
8,675.548,1.11745,0.93575,1.06884,0.87575,0.7963,0.88175,0.57128,1.2857,0.87042,1.1336,0.00157083,0.00157083,0.00157083
9,747.409,1.06456,0.92914,1.04344,0.75948,0.87037,0.85057,0.59301,1.11693,0.90261,1.05632,0.001604,0.001604,0.001604
10,819.955,1.04127,0.85285,1.03654,0.76682,0.90741,0.87629,0.5716,1.27866,1.02823,1.11274,0.0015545,0.0015545,0.0015545
11,891.872,1.07852,0.87892,1.03413,0.86195,0.85185,0.90499,0.65606,1.08375,0.84599,1.02053,0.001505,0.001505,0.001505
12,963.683,1.02309,0.84723,1.02155,0.83966,0.77586,0.88252,0.59267,1.16366,0.88561,1.0495,0.0014555,0.0014555,0.0014555
13,1031.75,1.02225,0.80342,1.03431,0.71912,0.75926,0.77127,0.53051,1.18268,1.17362,1.09127,0.001406,0.001406,0.001406
14,1100.75,1.0031,0.79708,1.01851,0.78694,0.64815,0.72714,0.46194,1.27668,1.43484,1.14279,0.0013565,0.0013565,0.0013565
15,1169.21,0.99522,0.78494,1.00776,0.84875,0.74074,0.82707,0.57226,1.24769,1.10749,1.12207,0.001307,0.001307,0.001307
16,1237.2,0.95084,0.73419,1.00855,0.8184,0.7963,0.86329,0.6162,1.08863,0.94457,1.05805,0.0012575,0.0012575,0.0012575
17,1331.93,0.94278,0.75894,0.99067,0.78147,0.79469,0.80632,0.56699,1.07644,1.01875,1.02888,0.001208,0.001208,0.001208
18,1413.79,1.0113,0.74262,1.02433,0.8041,0.76013,0.79616,0.52887,1.20438,1.17778,1.08681,0.0011585,0.0011585,0.0011585
19,1486.43,0.95518,0.7212,0.98333,0.75764,0.75926,0.74002,0.48951,1.27672,1.1095,1.1419,0.001109,0.001109,0.001109
20,1555.5,0.90175,0.66076,0.96798,0.76784,0.7962,0.80113,0.57255,1.14103,1.02541,1.08396,0.0010595,0.0010595,0.0010595
21,1625.33,0.90391,0.68165,0.97082,0.79638,0.77778,0.83769,0.60769,1.10013,0.90546,1.03996,0.00101,0.00101,0.00101
22,1697.03,0.86361,0.63025,0.96382,0.86672,0.81481,0.87959,0.66533,1.09436,0.80164,1.02141,0.0009605,0.0009605,0.0009605
23,1769.8,0.87505,0.65731,0.95824,0.8453,0.80959,0.86191,0.62926,1.07765,0.89032,1.01866,0.000911,0.000911,0.000911
24,1841.74,0.89216,0.63673,0.96474,0.7768,0.83791,0.85782,0.60989,1.10211,0.90155,1.05205,0.0008615,0.0008615,0.0008615
25,1913.04,0.86097,0.63555,0.95348,0.81603,0.83333,0.87744,0.62818,1.1102,0.81914,1.04309,0.000812,0.000812,0.000812
