epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.991,2.45271,4.75733,1.84629,0.00208,0.55556,0.00618,0.00255,2.25087,4.26608,1.67565,6e-05,6e-05,6e-05
2,79.087,2.35106,4.45477,1.75596,0.00307,0.81944,0.00551,0.00198,1.96781,4.03887,1.47459,0.00013538,0.00013538,0.00013538
3,110.01,2.10465,3.87474,1.57421,0.00323,0.86111,0.00726,0.00276,1.78852,3.82683,1.35676,0.00020548,0.00020548,0.00020548
4,141.618,2.09762,3.60767,1.59357,0.00307,0.81944,0.10149,0.04218,1.61286,3.74245,1.34407,0.0002703,0.0002703,0.0002703
5,173.66,1.81764,2.92795,1.46563,0.00281,0.75,0.17611,0.07432,1.5687,3.80421,1.33925,0.00032984,0.00032984,0.00032984
6,208.866,1.81025,2.96816,1.40911,0.00224,0.59722,0.16856,0.061,1.56569,3.88807,1.42492,0.0003841,0.0003841,0.0003841
7,242.086,1.75776,2.77427,1.35201,0.00208,0.55556,0.15716,0.06401,1.63887,4.00679,1.51711,0.00043308,0.00043308,0.00043308
8,271.141,1.79259,2.69912,1.41128,0.00214,0.56944,0.15884,0.05391,1.64801,3.99131,1.53321,0.00047678,0.00047678,0.00047678
9,301.143,1.83091,2.55196,1.41949,0.00224,0.59722,0.08032,0.0189,1.59665,3.88874,1.45039,0.0005152,0.0005152,0.0005152
10,330.323,1.74377,2.44701,1.36356,0.00234,0.625,0.03395,0.00846,1.61071,3.89488,1.47573,0.00054834,0.00054834,0.00054834
11,359.953,1.72266,2.33854,1.37009,0.00255,0.68056,0.02457,0.01076,1.60394,3.85723,1.45278,0.0005762,0.0005762,0.0005762
12,390.374,1.70319,2.25257,1.33359,0.00271,0.72222,0.00651,0.00269,1.6369,3.86191,1.45104,0.00059878,0.00059878,0.00059878
13,423.07,1.76904,2.39367,1.39552,0.00224,0.59722,0.00264,0.00099,1.70989,4.02077,1.53512,0.00061608,0.00061608,0.00061608
14,451.528,1.5839,2.36,1.23285,0.00229,0.61111,0.00352,0.00126,1.65454,3.95051,1.47814,0.0006281,0.0006281,0.0006281
15,484.065,1.57142,2.29462,1.25208,0.01016,0.83333,0.20221,0.12344,1.50312,3.40499,1.31099,0.00063484,0.00063484,0.00063484
16,513.758,1.57922,1.99384,1.27252,1,0.10769,0.40864,0.23051,1.48148,3.18163,1.28413,0.0006363,0.0006363,0.0006363
17,549.669,1.50062,1.88614,1.24732,1,0.10561,0.51551,0.26447,1.49126,3.10772,1.29724,0.00063248,0.00063248,0.00063248
18,582.724,1.53336,2.05127,1.27236,1,0.09884,0.55632,0.27182,1.48756,3.01653,1.29143,0.00062338,0.00062338,0.00062338
19,610.945,1.52653,1.93438,1.22339,1,0.12751,0.60778,0.31844,1.49052,2.93129,1.27898,0.000609,0.000609,0.000609
20,639.499,1.47108,1.96701,1.25079,1,0.19914,0.64414,0.34905,1.42999,2.8356,1.22952,0.00058934,0.00058934,0.00058934
21,667.735,1.44795,2.35759,1.22391,0.95343,0.2845,0.61734,0.36571,1.33458,2.8112,1.16639,0.0005644,0.0005644,0.0005644
22,695.916,1.4641,2.25909,1.21548,0.94425,0.23528,0.60968,0.36916,1.30691,2.80333,1.15077,0.00053418,0.00053418,0.00053418
23,723.89,1.44112,2.23533,1.19718,0.95473,0.29296,0.69814,0.43601,1.27566,2.7068,1.13437,0.00049868,0.00049868,0.00049868
24,751.837,1.37984,2.21323,1.17921,0.97057,0.45811,0.8005,0.51766,1.23904,2.46823,1.11427,0.0004579,0.0004579,0.0004579
25,780.085,1.25892,2.06784,1.1574,0.92164,0.65347,0.86893,0.56044,1.23161,2.19351,1.10678,0.00041184,0.00041184,0.00041184
26,807.775,1.35211,1.97069,1.19205,0.94385,0.72222,0.88521,0.55655,1.25498,2.00083,1.11058,0.00035,0.00035,0.00035
27,836.781,1.34496,2.02826,1.15178,0.93511,0.80071,0.91017,0.56449,1.26388,1.89808,1.10991,0.000284,0.000284,0.000284
28,866.965,1.43025,2.03143,1.20801,0.95165,0.8202,0.92187,0.58448,1.23704,1.83507,1.10056,0.000218,0.000218,0.000218
29,895.656,1.2459,1.92074,1.12338,0.96435,0.81944,0.92365,0.61423,1.19872,1.76299,1.08471,0.000152,0.000152,0.000152
30,924.154,1.22993,1.81948,1.11748,0.9684,0.8513,0.93003,0.63769,1.15811,1.68227,1.07083,8.6e-05,8.6e-05,8.6e-05
