epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1778,0.89857,0.78459,0.97939,0.91525,1,0.96974,0.75484,0.89938,0.62703,0.93789,0.00022,0.00022,0.00022
2,158.334,1.12434,0.92102,1.07374,0.87931,0.94444,0.93245,0.70639,0.99995,0.73922,0.98383,0.00044988,0.00044988,0.00044988
3,236.604,1.05253,0.95002,1.0418,0.85074,0.90741,0.89044,0.71062,0.90097,0.80025,0.93716,0.0006692,0.0006692,0.0006692
4,313.51,1.03486,0.88768,1.0052,0.92683,0.7037,0.81197,0.62372,1.05774,0.80869,1.02047,0.00087796,0.00087796,0.00087796
5,390.325,1.0639,0.8841,1.03758,0.8,0.88889,0.86063,0.67374,0.94694,1.20122,0.96881,0.00107616,0.00107616,0.00107616
6,466.11,1.04465,0.83576,1.02665,0.82143,0.85185,0.85987,0.62232,1.20419,0.99334,1.06009,0.0012638,0.0012638,0.0012638
7,550.039,1.03235,0.88989,1.02413,0.84091,0.68519,0.77797,0.58398,1.01383,1.05798,1.00069,0.00144088,0.00144088,0.00144088
8,625.036,1.09389,0.92205,1.06,0.9,0.66667,0.76826,0.55425,1.15555,0.90744,1.05232,0.0016074,0.0016074,0.0016074
9,700.896,1.15405,0.97227,1.05922,0.86303,0.72222,0.79119,0.59262,1.1777,0.98082,1.05509,0.001648,0.001648,0.001648
10,787.764,1.10618,0.90862,1.0599,0.875,0.64815,0.75223,0.54134,1.40807,1.10918,1.19141,0.001604,0.001604,0.001604
11,865.073,1.0842,0.94566,1.04091,0.925,0.68519,0.81174,0.621,1.18529,0.9867,1.06721,0.00156,0.00156,0.00156
12,953.543,0.99725,0.85385,1.01277,0.91667,0.61111,0.76791,0.60186,1.19533,1.0289,1.07443,0.001516,0.001516,0.001516
13,1048.08,1.03029,0.80759,1.03557,0.86667,0.72222,0.80851,0.60448,1.20496,0.95699,1.05601,0.001472,0.001472,0.001472
