epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4856,2.49175,6.15604,1.9414,0.0014,0.36111,0.00123,0.00048,2.24306,4.38969,1.66822,2e-05,2e-05,2e-05
2,30.7429,2.64526,6.09479,2.04358,0.00161,0.41667,0.00159,0.00067,2.17749,4.37685,1.63263,5.406e-05,5.406e-05,5.406e-05
3,45.4056,2.57544,5.75652,1.90157,0.00204,0.52778,0.00386,0.0016,2.0223,4.26549,1.52992,8.02e-05,8.02e-05,8.02e-05
4,59.1303,2.14476,5.24779,1.70913,0.00237,0.61111,0.00896,0.00246,1.93908,4.16586,1.44779,9.842e-05,9.842e-05,9.842e-05
5,72.9012,2.11833,5.44748,1.61288,0.0029,0.75,0.0258,0.00685,1.85679,4.10683,1.38198,0.00010872,0.00010872,0.00010872
6,86.4295,2.08689,5.0875,1.49917,0.00344,0.88889,0.05909,0.01666,1.842,4.02802,1.34985,0.0001111,0.0001111,0.0001111
7,101.929,2.11737,4.67104,1.64581,0.00355,0.91667,0.06638,0.01752,1.78091,3.98391,1.2949,0.00010556,0.00010556,0.00010556
8,115.775,2.0348,4.46792,1.55847,0.00333,0.86111,0.04896,0.01452,1.75588,3.8855,1.26075,9.21e-05,9.21e-05,9.21e-05
9,130.152,1.88203,4.386,1.4845,0.00333,0.86111,0.04096,0.01247,1.73275,3.86685,1.24581,7.072e-05,7.072e-05,7.072e-05
10,147.888,1.92026,4.40683,1.40838,0.00344,0.88889,0.04587,0.01216,1.7318,3.85047,1.24624,4.142e-05,4.142e-05,4.142e-05
